"filteredrate","filteredrate.1","filteredrate.2","filteredrate.3","filteredrate.4","filteredrate.5","filteredrate.6","filteredrate.7","filteredrate.8","filteredrate.9","filteredrate.10","filteredrate.11","filteredrate.12","filteredrate.13","filteredrate.14","filteredrate.15","filteredrate.16","filteredrate.17","filteredrate.18"
0,2.815623921,0,2.280653361,0,0,0.311281964,0,0,0,0,0,0,0,0.212449751,0,0,0.17102695,0
0,2.2373761,0,0,0,0,0.31393264,0,0,0,0,0,0,0,0.389013242,0,1.305454885,0.12102475,0
0,1.106977115,0,0,0,0,0.235368546,0,0,0,0,0,0,0,0.39772409,0,0,0.184394841,0
0,1.086785901,0,0,0,0,0.191255264,0,0,0,0,0,0,0,0.476701374,0,0,0.098147497,0
0,0.230253486,1.393411408,0,0,0,0.359826717,0,0,0,0,0,0,0,0.35411975,0,0,0.052912778,0
0,0.319724796,1.242772969,0,0,0,0.205972887,0,0,0,0,0,0.472851244,0,0,0,0,0.204223573,0
0,0.682953791,0.542022733,4.028368765,0,0,0.240233355,0,0,0,0,0,0.629818556,0,0,0,0,0.302806839,0
0.518718783,1.014093,0.543805786,5.946921277,0,0,0.349220817,0,0.913492872,0,0,0,0.806465845,0,0,0,0,0.160928126,0
0,0.959175752,0.402065334,4.458497711,0,0,0.47913691,0,0.501130657,0,0,0,0,0,0,0,0,0.198938109,0
0,0.899559763,0.478849094,4.100625615,1.398984872,0,0.497523838,0,1.077814769,0,0.605546532,0,0,0,0,0,0,0.180323978,0
0,0.651304237,0.370845596,2.717206374,1.612613377,0,0.473960974,0,0,0,1.306742818,0,0,0,0,0,0,0.288578242,0
0,0.859734226,0.822168533,0,0,0,0.334635757,0,0,0,1.202107292,0,0,0,0,0,0,0.175123894,0
0,1.350250856,0.456592108,0,0,0,0.221801444,0,0,0,1.29070805,0,0,0,0,0,0,0.099885869,0
0,1.132798316,0.492404752,0,0,0,0.335993618,0,0,0,1.245360858,0,0,0,0,0,0,0.033261332,0
0,0.674537338,0.985425139,1.905833405,0,0,0.265757451,0,0,0,1.203108548,0,0,1.291220827,0,0,0,0,0
0,1.015780662,0.60603596,2.771737703,0,0,0.234587228,0,0,0,2.264379329,0,0.804536791,2.162934427,0,0,0,0,0
0,0,0.644829127,1.12028161,0,0,0.274033225,0,0,0,1.325230785,0,0.640083763,0.877823945,0,0,1.268232303,0,0
0,0,1.389165452,0.216966258,0,0,0.180449966,0,0,0,0.522036526,0,0.885972142,0,0,0,0,0,0
0,0,1.076799355,0.246908089,0,0.191661442,0.181744087,0,0,0,1.243487931,0,1.806963271,0.612090072,0,0,0,0,0
0,0,1.709350937,0,0,0.306475979,0.499690553,0,0,0.349150138,1.582321431,0,1.373363451,0.529453978,0,0,0,0,0
0,0,2.359674166,0,0,0.113870252,0.762963989,0,0.873555429,0,2.204319135,0,0.921020412,1.280212183,0,0,0,0,0
0,0,1.390774846,0,0,0.202050474,0.396359927,0,0.422272509,0.382309613,1.795590031,0,1.266065886,1.043631582,0,0,0,0,0
0.543135245,0,0.779809563,0,0,0,1.047787866,0,0.353514921,0,1.320220638,0,0,0.870769752,0,0,0,0,0
0.856885197,0,0,0,0,0,0,0,0.44785063,0,1.140186773,0,0,1.161994386,0,0,0,0,0
0.790520316,0,0,0,0,0,0,0.449106845,0.204936445,0,1.602819671,0,0,3.423666169,0,0,0,0.006311832,0
1.002887013,0,1.020082813,0,0,0,0,0.601920689,0.102715322,0,2.249428779,0,0,1.005299266,0,0,0,0.003449086,0
1.409135582,0,1.210101713,0,1.850875435,0,0,0,0.240867408,0,1.399424769,0,0,1.977921864,0,0,0,0,0
3.166846356,0.15774121,0,0,1.093291296,0,0,5.591888091,0,0,1.111189176,0,0,1.386641996,0,0,0,0,0
1.396796309,0,0,1.322569181,1.335293975,0,0,5.741882496,0,0,0.663900014,0,0,1.043419667,0,0,0,0.007699577,0
2.119716255,0,0,0,1.101927518,0,0,4.148426117,0,0,1.723626745,0,0,1.374178302,0,0,0,0,0
1.439061963,0,0,0,1.092890914,0,0,2.608905363,0,0,1.39061859,0,0,0.860043495,0,0,0,0,0
2.069973739,0,0,0,2.277010876,0,0,0,0,0,0,0,0,1.073657406,0,0,0,0,0
1.736705848,0,0,0,0,0,0,0,0,0,0,0,0,0.854038765,0,0,0,0,0
0.932090046,0,0,3.71535386,0,0,0,0,0.201265282,0,0,0,0,1.456553851,0,0,0,0,0
1.76543988,0,0,1.211283024,0,0.189041074,0,0,0,0,0,0,0,0.956840729,0,0,0,0,0
0.667063603,0,0,0,0,0.126603344,0,0,0,0,0,0,0,0.613349702,0,0,0.923622361,0,0
0.46941366,0,0.953276566,0,1.690826291,0.090274871,0,0,0,0,0,0,0,0.809155266,0,0,0.921256561,0,0
0.204632546,0,0.829256142,0,1.577856517,0,0,0,0,0,0,0,0,0.831107488,0,0,1.286624719,0,0
0.174014125,0,0.836033533,0,0,0,0,0,0,0,0,0,0,0.677495494,0,0,0,0,0
0.222779655,0,0.89913247,0,0,0,0,0,0,0,0,0,0,0.456012696,0,0,0,0,0
0.158403204,0,1.420188172,0,0,0,0,0,0,0,1.17631849,0,0,0.178194002,0,0,0,0,0
0,0,1.144378885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450914232,0,2.073295448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46581023,0,0.851836053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.611691084,0,0.895143523,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155357271,0,0
0.778662657,0,0.413680128,0,0.897380203,0,0.417551278,0,0,0,0,0,0,0,0,0,3.025209409,0,0
0.780657387,0,0.388666819,0,2.258656057,0,0.300649534,0,1.218761156,0,0,1.357167952,0,0,0,0,1.928630798,0,0
0.372849171,0,0.421104157,2.2288248,2.577697771,0,0,0,1.030369997,0,0,0,0,0,0,0,1.591347451,0,0
0.569479016,0,0.725779944,0,1.358675515,0,0,0,0,0,0,0,0,0,1.080100063,0,0.914540104,0,0
0.609246502,0,1.585523815,0,1.338966684,0,0.680869798,0.133642889,0,0,0,0,0,0,3.476456903,0,1.264477304,0,0
0.434318159,0,0.636794333,0,1.993920582,0,0.954455381,0.491888411,0,0,0,0,0,0,3.590730078,0,0,0,0
0.365428943,0,1.106089414,0,2.457681879,0,1.219057955,0.406897178,0,0,2.760430365,0,0,0,2.145412664,0,0,0,0
0.270915546,0,1.458514034,0,3.686737345,0,0.38060376,0.531633959,0,0,0,0,0,0,2.362534175,0,0,0,0
0,0,0.724920406,0,1.796441775,0,0.455579223,0.885354501,0,0,0,0,0,0.411938589,0,0,0,0,0
0,0,0.688076086,0,1.618003653,0,0.175406859,0.681018681,0,0,0,0,1.388964129,0.570763511,0,0,0,0,0
0,0,0.408413792,0,0.82676496,0,0.141301556,0,0,0,0,0,2.093265774,0.416028948,1.8299501,0,0,0,0
0,0,0.538604568,0,0.592044349,0,0.08860962,0,0,0,0,0,3.699143826,0.712277244,1.469404299,0,1.897752782,0,0.076490759
0,0,1.052990959,0,0,0,0,0,0,0,0,0,3.602510984,0.747274038,1.849381186,0,1.354566682,0,0.058493263
0,0,0.868251876,0,0,0,0,0,0,0,0,0,3.298142552,0.90061265,1.462244492,0,2.034294673,0,0.079503487
0,0,0.635508748,0,0,0,0,0,0.176160576,0,0,0,2.107198051,0.866034213,1.877020928,0,0,0,0.093446008
0,0,1.041713288,0,0,0,0,0,0.130692983,0,0,0,2.806532354,0,2.547056047,0,0,0,0.06800307
0.252716661,0,0.899131994,0,0,0,0,0,0.094417254,0,0,0,4.546162035,0,2.282455235,0,0,0,0
0.316997036,0,0.724932874,0.357424608,0,0,0,0,0.169169288,0,0,0,4.455241593,0,1.143320483,0,0,0,0
0.742619116,0,0.420394687,0.649712753,0,0,0,0,0.351260668,0,0,0,2.578341178,0,0.947774639,0,0,0,0
1.010230804,0,0.429375086,0,0,0,0.079413345,0,0,0,0,0.675855203,2.169210158,0,0.850449017,0,1.31460912,0,0
0.518829084,0,0.686705162,0,0,0,0,0,0,0,0,0,3.215367575,0,1.265389291,0,0,0,0
0.351235478,0,0.947432861,0,0,0,0,0,0,0,0,0,3.982664329,0,1.42903511,0,0,0,0
0.430180093,0,0.554645643,0,0,0,0,0,0,0,0,0,3.171968772,0,0.885765739,0,0,0,0
0.261870367,0,0.669941276,0,0,0,0,0,0.513493339,0,0,0,3.350692012,0,0.415050521,0,0,0,0.043035113
0.311669583,0,1.207090846,0,0,0,0,0,0.403345789,0,0,0,1.14862044,0,0,0,0,0,0
0.619159832,0,0.966063403,0,2.784190822,0,0,0,0,0.799420856,0,0,1.478624687,0,0,0,0,0,0.062380466
1.437672753,0,2.088314258,0,0,0,0,1.802801474,0,1.10304159,0,0,1.990646544,0,0,1.983731634,0,0,0
1.088164199,0,0.977394529,0,0,0,0,1.216529891,0,0.986998517,0,0,1.201286635,0,0,1.19100396,0,0,0
0.535311571,0,1.209868071,0,0,0,0,0.666145904,0,0,0,0,1.184705378,0,0,1.990182498,0,0,0
0.207744667,0,1.621144464,0,0,0,0,1.546225628,0,0,0,0,4.007144267,0,0,0,0,0,0
0.225824474,0,1.211251122,0,0,0,0,1.193501465,0,0,0,0,7.200426206,0,0,0,0,0,0
0.677111767,0,2.206273587,1.438144343,0,0,0,0.973003607,0,0,0.975266521,0,3.387004407,0,0,0,0,0,0
0.921473451,0,2.292099449,2.055742527,0,0,0,1.345186354,0,0,0.643678178,0,6.002198986,0,0,0,0,0,0
1.123255808,0,2.27948323,1.304305871,0,0,0,0.997750623,0,0,0,0,1.979206837,0,0,0,0,0,0
0,0,2.547853952,1.359190796,0,0,0,0.755269584,0,0,0,0,2.010410698,0,0,0,0,0,0
0,0,1.622578534,1.028417341,0,0,0,0.818462736,0,0,0,0,2.163561848,0,0,0,0,0,0
0,0,0.928243132,1.146305471,0,0,0,0.375358676,0,0,0,0,3.276948814,0.305669777,0,0,0,0,0
0.924219404,0,0.712457648,1.249324037,0,0,0,0,0,0,0,0,1.512470471,0.586469761,0,0,0,0,0
2.012274149,0,0.488170079,0.808185676,0,0,0,0,0,0,0,0,3.152303747,0,0,0,0,0,0
1.941495623,0,0.627716233,0.919372773,0,0,0,0,0,0,0,0,2.104571252,0,0,0,0,0,0
1.400829005,0,0.450006209,0.732903248,2.034304724,0,0,0,0,0,0,0,0,0.936094819,0,0,0,0,0.010091689
0.81290033,0,0,0.950266339,1.23118219,4.596386089,0,0,0,0,0,0,0,1.577800133,0,0,0,0,0
0.906501083,0,0.482740557,0.635650176,1.746077986,4.405072996,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5602164,0.315635241,1.022617908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.578175982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.20776762,1.161217064,0,0.581301228,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.006420407,1.345985179,0,1.06877247,0,0,0,0,0.145707574,0,0,0,0,0,0,0
0,0,1.767989169,0.997114757,1.332286255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020503048
0,0,1.0356689,1.876936343,1.290794467,0,0,0,0,0,0,0,0,0,0,0,0.874729366,0,0.032796213
0,0,1.395320595,2.68656665,1.282803452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044724761
0,0,1.579488141,4.284372002,0.718603616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103927735
0,0,1.530232408,4.322884876,0.729067237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101017612
0,0,1.531693287,4.310663879,0.730526757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101251922
0,0,1.531766889,4.311091756,0.730508468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10125614
1.706366308,0,1.532042812,4.313101193,0.730344755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101297715
1.725686371,0,1.096633335,3.239778544,0.600595299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122604118
1.511419243,0,2.608168752,3.888105299,0.459110974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21818786
1.594240151,0,1.222316792,1.406362196,0.7597655,0,0,0,0,1.498114704,0,0,0,0,0,0,1.250370449,0,0.17083262
0.71781773,0,1.300302586,1.722601867,1.278028607,0,0,0,0,1.346186545,0,0,0,0,0,0,0,0,0.213863751
1.536589172,0,1.811552467,1.53083817,0.550218738,0,0,0,0,0.657276453,0,0,0,0,0,0.361826765,0,0,0.205770029
1.220877971,0,1.685256031,4.231737732,0.960857465,0,0,0,0,0.748635924,0,0,0,0,0,0,0,0,0.201075967
0.600080355,0,1.294649634,4.061444219,3.82915332,0,0,0,0,0.938505064,0,0,0,0,0,0,0,0,0.250992896
1.289508216,0,0.664737266,0,3.582997563,0,0,0,0,2.031381014,0,0,0.56200036,0,0,0,0,0,0.170265262
1.560021737,0,0.634308735,0,2.338636738,0,0,0,0,1.118680597,0,0,0,0,0,0,0,0,0.135226425
0.705454687,0,0.883861113,0,3.528580174,0,0,0,0,2.381561192,0,0,0,0,0,0,0,0,0.101395336
0.396002618,0,0,0,4.844519606,0,0,0,0,0,0,0,0.897767964,0,0,0,0,0,0.052671781
0.346503208,0,0,0,3.631534575,0,0,0,0,0,0,0,0.657208613,0,0,0,0,0,0.190910064
0.360610859,0,0,0,6.083544969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105413267
0.50229612,0,0,0,3.097195092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10971241
0.402541418,0,0,1.452676004,4.017667855,0,0,0,0,0,0,0,0,0,0,0,0,0.229688746,0.098530145
1.013988711,0,0,1.935578806,3.325323066,0,0,0,0,0,0,0,0,0,0,0,0,0.16950036,0.068684254
1.287634599,0,0,0.828333101,3.535768837,0,0,0,0,0,0,0,0,0,0,0,0,0.114089992,0.046828645
3.046881008,0,1.785769873,0.438954456,3.881724785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094725032
1.18553446,0,1.077667329,0.523021512,5.973591336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1223012
0.977340117,0,1.10458286,0.444060023,2.202649045,0,0.20668931,0,0,0,0,0,0,0,0,0,0,0,0.14443999
0.741407806,0,0.695221052,0,3.125525576,0,0.988232591,0,0,0,0,0,0,0,0,0,0.166672304,0,0.161513537
0.348953041,0,0.616564378,0,3.187256544,0,0.696132754,0,0,0,0,0,0,0,0,0,0.246582537,0,0.172599351
0.570851741,0,0.726736399,0,3.594286232,0,2.133300898,0,0,0,0,0,0,0,0,0.908107626,0.38253668,0,0.195647167
0.464722289,0,0.287207444,0,1.745557844,0,0,0,0,0,0.098227455,1.035948392,0,0,0,2.169554907,0.426899642,0,0.104239977
0.462711767,0,0.260836323,0,2.524854253,0,0,0,0,0,0.098610036,0.885119491,0,0,0,1.342391646,0.805162137,0,0.086021682
0.252112589,0,0.403457897,0.769690272,1.050726145,0,0,0,0,0,0.1167579,0,0,0,0,0.75680472,0.969930216,0,0.105007782
0.202772294,0,0.399396421,0.970268414,1.010771871,0,0,0,0,0,0.324204514,0,0,0,0,0.349840786,0,0,0.10307865
0.238424203,0,0.479511908,1.487107351,1.30189096,0,0,0,0,0,0.276811292,0,0,0,0,0.592698509,0,0,0.068425521
0.259855754,0,0.249743376,1.055808353,2.743610391,1.116651122,0,0,0,0,0.608998058,0,0,0,0,0.535848247,0,0,0.080207033
